image_id,caption_sim,n_personas,sentiment_agreement,majority_sentiment,label_jaccard,just_sim
102tapSsNubXllWzP7asAW-qwMJApiWt6,0.94925016,1200,1.0,Negative,0.9857917312045753,0.6735922
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,0.9747639,1200,1.0,Neutral,0.822128427128427,0.6435975
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,0.8687925,1200,0.530859049207673,SlightlyPositive,0.34153663988067656,0.6096374
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,0.90056247,1200,1.0,SlightlyNegative,0.7140698598038048,0.68667006
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,0.9027817,1200,1.0,Negative,0.8395973496432211,0.6190744
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,0.98809415,1200,1.0,Neutral,0.9961986178958655,0.49919665
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,0.9455703,1200,0.5300305810397553,Neutral,0.42298139984378513,0.5824439
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,0.9654556,1200,1.0,SlightlyNegative,0.6693801514489587,0.76985717
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,0.97188497,1200,1.0,Negative,0.8306440552312111,0.5979089
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,0.89290905,1200,1.0,Negative,0.7794464964189735,0.5799011
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,0.99832666,1200,0.9752919099249374,SlightlyNegative,0.6852492801540967,0.5306024
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,0.9699265,1200,0.8415568529329998,Neutral,0.7564126642131228,0.542657
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,0.9268209,1200,0.9246719488462608,SlightlyPositive,0.5164718294787102,0.6398866
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,0.9644155,1200,1.0,Neutral,0.7985407416233103,0.525578
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,0.84870565,1199,0.7353554227855433,Neutral,0.6767024421226379,0.5410743
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,0.88742757,1200,1.0,Neutral,0.44378225737056004,0.65897304
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,0.78283954,1200,1.0,Neutral,0.6523087956895296,0.55406547
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,0.837768,1200,0.536969696969697,Negative,0.6437554443517747,0.6472307
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,0.9921266,1200,0.5129329997219906,Positive,0.6132778042548686,0.582562
1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-,0.9376054,1200,0.7471281623575201,Neutral,0.5897759707163377,0.56061924
1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z,0.77901244,1200,0.551898804559355,SlightlyNegative,0.4501420826879543,0.53671694
1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm,0.8849311,1200,1.0,Neutral,0.42554918781524287,0.55949146
1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda,0.80635285,1200,1.0,Negative,0.5952416089686732,0.57409716
1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS,0.8501753,1200,1.0,SlightlyNegative,0.7922636588691635,0.7166026
1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X,0.76765263,1200,1.0,Negative,0.6152170790473543,0.546676
1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9,0.8853121,1200,1.0,SlightlyNegative,0.6848178177581847,0.5921484
1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb,0.96642673,1200,1.0,SlightlyNegative,0.7316209308021234,0.6363909
1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ,0.83431923,1200,0.5220030581039755,SlightlyPositive,0.6254507095860307,0.5301474
1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP,0.9061013,1200,1.0,Neutral,0.6849817208785098,0.6055147
1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK,0.9365975,1200,1.0,SlightlyNegative,0.9571574857354674,0.72621197
1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW,0.8858466,1200,0.5210063942174034,Neutral,0.5636802907846485,0.49423864
1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A,0.8340299,1200,1.0,Neutral,0.7760063065120405,0.5284543
1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ_,0.8672917,1200,1.0,Negative,0.7872250023167455,0.570823
1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ,0.9430937,1200,0.694017236586044,Positive,0.42743161022633497,0.5769041
1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh,0.9338492,1200,1.0,Neutral,0.6776776811363968,0.5977832
1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy,0.9092091,1200,1.0,Neutral,0.469461323589764,0.6200449
1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4,0.866229,1200,1.0,Positive,0.8709171498735718,0.6430692
1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR,0.6993829,1200,0.5783208229079789,Neutral,0.403474379001902,0.51112944
1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX,0.93213123,1200,1.0,Neutral,0.516101410567007,0.5303472
1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E,0.9594141,1200,1.0,SlightlyNegative,0.9317011199809364,0.6658117
1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56,0.9615048,1200,1.0,SlightlyPositive,0.9352194288891535,0.7618451
1o7J69bQhbz_B92JymZCrYVdNyn3j3boo,0.9875572,1200,0.721990547678621,SlightlyPositive,0.6293117214080516,0.5687598
1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46,0.9406702,1200,0.9966694467611898,Neutral,0.7962780822643208,0.5107025
1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4,0.9858634,1200,1.0,SlightlyPositive,0.7336126004474629,0.730433
1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj,0.8601152,1200,0.38702390881289966,Positive,0.6159913982551597,0.54348344
1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF,0.9200836,1200,1.0,SlightlyPositive,0.47938526980155416,0.6754199
1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN,0.8874926,1200,0.9883917153183208,Neutral,0.5940735665965023,0.5235058
1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A,0.90198183,1200,0.7231039755351681,Neutral,0.49087904106596764,0.52928734
1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc,0.87833196,1200,0.6305935501807062,SlightlyNegative,0.48651895759693925,0.49195975
1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK_,0.90235054,1200,0.6070113983875451,SlightlyPositive,0.66866204641434,0.6527939
