annotation_id,roberta_label,roberta_score,condition
pno_perso_img_1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF_no_persona_think,Positive,0.9141492247581482,no_persona_think
pno_perso_img_1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ_no_persona_think,Positive,0.9134882092475891,no_persona_think
pno_perso_img_1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E_no_persona_think,Neutral,0.8481782078742981,no_persona_think
pno_perso_img_1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig_no_persona_think,Negative,0.8856824040412903,no_persona_think
pno_perso_img_10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4_no_persona_think,Positive,0.9322865605354309,no_persona_think
pno_perso_img_1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc_no_persona_think,Negative,0.8342355489730835,no_persona_think
pno_perso_img_1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-_no_persona_think,Positive,0.9465867280960083,no_persona_think
pno_perso_img_1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS_no_persona_think,Negative,0.8321496844291687,no_persona_think
pno_perso_img_1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK__no_persona_think,Positive,0.8797959685325623,no_persona_think
pno_perso_img_1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4_no_persona_think,Positive,0.9647045731544495,no_persona_think
pno_perso_img_1o7J69bQhbz_B92JymZCrYVdNyn3j3boo_no_persona_think,Positive,0.9332787394523621,no_persona_think
pno_perso_img_1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46_no_persona_think,Negative,0.8641204237937927,no_persona_think
pno_perso_img_1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy_no_persona_think,Neutral,0.834948718547821,no_persona_think
pno_perso_img_13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ_no_persona_think,Positive,0.9366905689239502,no_persona_think
pno_perso_img_1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr_no_persona_think,Positive,0.9448899030685425,no_persona_think
pno_perso_img_1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr_no_persona_think,Positive,0.9664402008056641,no_persona_think
pno_perso_img_183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR_no_persona_think,Neutral,0.7546027898788452,no_persona_think
pno_perso_img_1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX_no_persona_think,Positive,0.7080245018005371,no_persona_think
pno_perso_img_14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U_no_persona_think,Negative,0.8456032872200012,no_persona_think
pno_perso_img_1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ_no_persona_think,Positive,0.9711453914642334,no_persona_think
pno_perso_img_1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm_no_persona_think,Negative,0.8862787485122681,no_persona_think
pno_perso_img_1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A_no_persona_think,Neutral,0.7132177948951721,no_persona_think
pno_perso_img_1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps_no_persona_think,Positive,0.923022985458374,no_persona_think
pno_perso_img_1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4_no_persona_think,Positive,0.930955171585083,no_persona_think
pno_perso_img_1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ__no_persona_think,Negative,0.8866000175476074,no_persona_think
pno_perso_img_1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK_no_persona_think,Negative,0.8509423732757568,no_persona_think
pno_perso_img_1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56_no_persona_think,Positive,0.9672954082489014,no_persona_think
pno_perso_img_103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG_no_persona_think,Negative,0.8034974932670593,no_persona_think
pno_perso_img_1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh_no_persona_think,Neutral,0.643227219581604,no_persona_think
pno_perso_img_1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X_no_persona_think,Negative,0.8923510909080505,no_persona_think
pno_perso_img_135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO_no_persona_think,Negative,0.8840877413749695,no_persona_think
pno_perso_img_13VAge1esbhXsqK9d8LznHQzWgjFA-qRY_no_persona_think,Neutral,0.8917423486709595,no_persona_think
pno_perso_img_1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A_no_persona_think,Neutral,0.884172797203064,no_persona_think
pno_perso_img_1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z_no_persona_think,Negative,0.7693334221839905,no_persona_think
pno_perso_img_11DOuFmByYWPoQc2QyFxzxcb1da83nIqF_no_persona_think,Negative,0.8598135709762573,no_persona_think
pno_perso_img_1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN_no_persona_think,Neutral,0.70516437292099,no_persona_think
pno_perso_img_1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb_no_persona_think,Negative,0.5798001885414124,no_persona_think
pno_perso_img_16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by_no_persona_think,Negative,0.86475670337677,no_persona_think
pno_perso_img_1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9_no_persona_think,Negative,0.5125744938850403,no_persona_think
pno_perso_img_1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR_no_persona_think,Negative,0.6734350919723511,no_persona_think
pno_perso_img_1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T_no_persona_think,Negative,0.7657116651535034,no_persona_think
pno_perso_img_1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj_no_persona_think,Positive,0.8734004497528076,no_persona_think
pno_perso_img_1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-_no_persona_think,Negative,0.8608973622322083,no_persona_think
pno_perso_img_102tapSsNubXllWzP7asAW-qwMJApiWt6_no_persona_think,Negative,0.8874990344047546,no_persona_think
pno_perso_img_1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW_no_persona_think,Neutral,0.8323233127593994,no_persona_think
pno_perso_img_1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP_no_persona_think,Neutral,0.7037482261657715,no_persona_think
pno_perso_img_160nowuoebdBnrXT3OgLQmAXD-qAJdkhn_no_persona_think,Negative,0.8801224231719971,no_persona_think
pno_perso_img_1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda_no_persona_think,Negative,0.8637694120407104,no_persona_think
pno_perso_img_1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E_no_persona_think,Negative,0.8554093837738037,no_persona_think
pno_perso_img_16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8_no_persona_think,Negative,0.7554773092269897,no_persona_think
pno_perso_img_1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF_no_persona_no_think,Positive,0.9630586504936218,no_persona_no_think
pno_perso_img_1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ_no_persona_no_think,Positive,0.940410852432251,no_persona_no_think
pno_perso_img_1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E_no_persona_no_think,Neutral,0.7473641633987427,no_persona_no_think
pno_perso_img_1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig_no_persona_no_think,Negative,0.9014677405357361,no_persona_no_think
pno_perso_img_10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4_no_persona_no_think,Positive,0.9000104665756226,no_persona_no_think
pno_perso_img_1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc_no_persona_no_think,Negative,0.8050263524055481,no_persona_no_think
pno_perso_img_1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-_no_persona_no_think,Neutral,0.8256697058677673,no_persona_no_think
